delito,diasem,mes,tipov,longitud,latitud
276,1,2,20,1,-71.2480982,-32.8958591
277,1,2,21,4,-71.5173964,-33.002143
278,1,2,23,1,-71.5091411,-33.0254111
279,2,2,10,6,-71.4991656,-32.985275
280,2,2,11,6,-71.4991656,-32.985275
281,2,2,15,3,-71.4212462,-33.0696187
282,2,2,16,1,-71.6347563,-33.0276484
283,2,2,19,1,-71.6260754,-33.4877584
284,3,2,0,5,-71.3828276,-33.0456867
285,3,2,2,1,-71.5809233,-33.1155336
286,3,2,3,2,-71.3752411,-33.0372944
287,3,2,5,1,-71.6930831,-33.407025
288,3,2,9,5,-71.5123557,-32.9976625
289,3,2,15,1,-71.6144934,-33.0450508
290,3,2,19,1,-71.2753573,-32.9928071
291,3,2,20,1,-70.6085767,-32.831655
292,3,2,22,1,-71.5821353,-33.0456268
293,3,2,19,1,-71.3918112,-33.0377233
294,4,2,0,1,-71.5415233,-32.9705299
295,4,2,9,3,-71.3931338,-33.0581035
296,4,2,9,6,-71.5559131,-33.1150656
297,4,2,10,1,-71.4372828,-33.0566365
298,4,2,21,2,-71.4052479,-33.0630611
299,4,2,22,1,-71.6119923,-33.0498832
300,5,2,0,2,-71.5178748,-32.9224936
301,5,2,1,1,-71.5451875,-33.0107519
302,5,2,13,1,-71.6242882,-33.5783068
303,5,2,15,1,-71.5346998,-32.9732879
304,5,2,16,3,-71.5466732,-33.0211173
305,5,2,21,1,-71.3757922,-33.0455561
306,5,2,23,1,-71.463408,-33.0443593
307,6,2,0,1,-71.6044078,-33.0459178
308,6,2,8,1,-71.1488922,-32.7921662
309,6,2,8,1,-71.546654,-33.0115857
310,6,2,15,6,-70.6886476,-32.8274658
311,6,2,17,1,-71.5538743,-33.1146389
312,6,2,20,1,-71.620307,-33.0451102
313,7,2,0,1,-71.6388447,-33.0290018
314,7,2,4,1,-70.5872507,-32.8725851
315,7,2,6,1,-71.383707,-33.0450165
316,7,2,8,4,-70.5982518,-32.6667785
317,7,2,10,1,-71.5279568,-32.7764683
318,7,2,19,1,-71.3773393,-33.0411287
319,7,2,21,1,-71.067757,-32.4300384
320,7,2,22,2,-71.5083322,-32.7911401
321,1,2,4,6,-71.6120351,-33.6029701
322,1,2,4,6,-71.6120351,-33.6029701
323,1,2,11,1,-71.5716088,-33.0284972
324,1,2,12,4,-71.7015214,-33.3925416
325,1,2,18,3,-71.5514042,-33.0240542
326,1,2,19,1,-71.5240738,-33.035421
327,2,2,1,2,-71.6127855,-33.5971592
328,2,2,4,6,-71.6072824,-33.6224052
329,2,2,7,5,-71.6051269,-33.5483759
330,2,2,14,3,-71.2425386,-32.8780103
331,2,2,14,1,-71.2753573,-32.9928071
332,2,2,18,2,-71.440042,-32.796691
333,2,2,21,4,-71.4410588,-33.0484845
334,2,2,23,2,-71.5500014,-33.0153549
335,3,2,0,1,-71.5858055,-33.0761855
336,3,2,1,2,-71.0304094,-32.8166194
337,3,2,7,2,-70.7353939,-32.7453085
338,3,2,9,1,-71.4389411,-33.0372312
339,3,2,17,6,-71.5359852,-32.9592394
340,3,2,19,1,-71.5266978,-33.0344531
341,3,2,20,1,-71.463408,-33.0443593
342,4,2,10,1,-71.5987803,-33.0575619
343,4,2,18,1,-71.4673787,-33.0416271
344,4,2,18,1,-71.4315821,-33.0552689
345,4,2,20,1,-71.6043791,-33.0441987
346,4,2,21,1,-71.5514042,-33.0240542
347,5,2,0,1,-71.5454509,-33.0072493
348,5,2,3,2,-71.5988705,-33.5920333
349,5,2,7,6,-71.4014677,-33.0329609
350,5,2,7,1,-71.4014677,-33.0329609
351,5,2,8,1,-71.625506,-33.4976934
352,5,2,10,4,-71.2145229,-32.7948583
353,5,2,11,1,-71.5529712,-33.0170136
354,5,2,19,1,-71.5412862,-33.0171964
355,5,2,21,1,-71.4111818,-33.0351639
356,6,2,0,1,-71.5264244,-32.7848089
357,6,2,0,2,-71.5694837,-33.0653505
358,6,2,0,1,-71.5370397,-33.0568881
359,6,2,3,1,-71.5033233,-32.9999567
360,6,2,4,1,-71.260653,-32.8807164
361,6,2,17,2,-71.1800881,-32.7811699
362,6,2,18,1,-71.5240738,-33.035421
363,6,2,21,2,-71.60131,-33.5462465
364,6,2,22,1,-71.6173883,-33.6161489
365,7,2,1,1,-71.5628915,-33.0262547
366,7,2,3,1,-71.5648851,-33.0650324
367,7,2,5,5,-71.2507511,-32.879225
368,7,2,9,1,-71.3828276,-33.0456867
369,1,2,0,3,-71.547998,-33.0422645
370,1,2,10,1,-71.5787553,-33.1200159
371,1,2,19,1,-71.619459,-33.5811823
372,1,2,23,1,-71.5008309,-32.9981392
373,2,2,10,1,-71.5321631,-33.0546419
374,2,2,15,2,-71.4453943,-33.0476177
375,2,2,20,1,-71.3528039,-33.0372859
376,2,2,21,1,-71.4301669,-33.0514953
377,2,2,23,5,-71.4141884,-33.0330216
378,3,2,3,5,-71.4864251,-33.0330804
379,3,2,6,3,-71.5614568,-33.0300477
380,3,2,8,6,-71.4952287,-33.1936321
381,3,2,8,3,-71.5428247,-33.0410593
382,3,2,12,1,-70.6871827,-32.8393819
383,3,2,13,1,-71.546654,-33.0115857
384,3,2,15,1,-71.5170096,-32.9955572
385,3,2,16,1,-71.5628744,-33.0366039
386,3,2,19,1,-71.5500894,-33.0289352
387,3,2,19,1,-71.61291,-33.0450531
388,3,2,21,4,-71.2044992,-32.7850866
389,4,2,0,1,-71.4478211,-33.0513612
390,4,2,0,1,-70.6871827,-32.8393819
391,4,2,6,2,-71.5203446,-33.0375304
392,4,2,7,3,-71.5413515,-32.9581958
393,4,2,7,5,-71.4983718,-33.0235874
394,4,2,9,2,-71.5923934,-33.0346259
395,4,2,13,1,-70.7248641,-32.7513552
396,4,2,22,1,-71.5446389,-33.0250598
397,5,2,4,1,-71.6006694,-33.5810045
